Time_Stamp,Year,Month,Response_ID,Hunger_Experience,Moving_Times,Self_Confidence,Hometown,Age,Parental_Income,Race_Ethnicity,School_Year,Transfer_Student,College,Gender_Identity,Sex,Living_Location,
5/9/2021 22:53,2021,May,150,No,1,Don't know / not applicable,"Elmhurst, NY 11373",20,"$60,000 - $99,999",Asian,2nd year undergraduate,Yes,College of Human Ecology,Woman,Female,On campus,
5/10/2021 7:14,2021,May,151,,,Agree slightly,"Bangalore, India",18,"$100,000 - $174,999",Asian,1st year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/10/2021 8:11,2021,May,152,No,0,Agree slightly,"Potomac, MD, 20854",21,"$100,000 - $174,999",Asian,4th year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/10/2021 10:30,2021,May,153,Yes,15,Agree strongly,Nairobi kenya,24,"Below $40,000",Black,4th year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/10/2021 11:58,2021,May,154,No,3,Don't know / not applicable,"Princeton, NJ 08540",22,"$175,000 - $299,999","White (of European descent),Hispanic",4th year undergraduate,No,College of Arts and Sciences,Woman,Male,Off campus,
5/10/2021 12:12,2021,May,155,No,3,Agree somewhat,"Falls Church, Virginia 22041",21,"$100,000 - $174,999","White (of European descent),Hispanic",3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/10/2021 10:13,2021,May,156,Yes,1,Disagree slightly,"New York, NY 10027",21,"$100,000 - $174,999",Black,4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/10/2021 13:04,2021,May,157,No,0,Agree slightly,"Madison, Wisconsin, 53704",20,"$100,000 - $174,999",White (of European descent),2nd year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/10/2021 15:09,2021,May,158,No,1,Agree slightly,"Omaha, Nebraska, 68102",20,"$175,000 - $299,999",Asian,3rd year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/10/2021 15:08,2021,May,159,No,1,Agree slightly,"Bloomfield Hills, Michigan 48302",18,"$500,000 - $749,999",White (of European descent),1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/10/2021 15:52,2021,May,160,No,1,Agree slightly,"Great Falls, Virginia 22066",20,"More than $750,000",White (of European descent),2nd year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/10/2021 18:34,2021,May,161,No,0,Disagree somewhat,Croton on Hudson New York 10520,18,"$500,000 - $749,999","White (of European descent),Hispanic",1st year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
5/10/2021 18:49,2021,May,162,No,0,Don't know / not applicable,I'm not answering that,22,"$175,000 - $299,999","White (of European descent),Hispanic",4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/10/2021 19:18,2021,May,163,No,0,Agree slightly,"Granby, CT, 06035",18,"$175,000 - $299,999",White (of European descent),1st year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/3/2021 19:27,2021,May,164,No,1,Agree slightly,,,,,,,,,,,
5/3/2021 19:53,2021,May,165,,,,,,,,,,,,,,
5/10/2021 19:16,2021,May,166,No,0,Agree slightly,"Scarsdale, New York 10583",18,"$300,000 - $499,999",White (of European descent),1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/10/2021 20:03,2021,May,167,No,4,Agree strongly,Teaneck NJ 07666,20,"Below $40,000",Hispanic,3rd year undergraduate,No,College of Agriculture and Life Sciences,Man,Male,Off campus,
5/10/2021 21:33,2021,May,168,No,2,Agree somewhat,"Dallas, TX, 75229",22,"More than $750,000",White (of European descent),4th year undergraduate,Yes,SC Johnson College of Business,Man,Male,Off campus,
5/10/2021 21:44,2021,May,169,Yes,0,Agree somewhat,"Chappaqua, New York, 14850",21,"$175,000 - $299,999",White (of European descent),4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/10/2021 23:08,2021,May,170,No,0,Agree slightly,"houston, TX 77081",22,"More than $750,000","White (of European descent),Hispanic",4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/11/2021 1:21,2021,May,171,No,0,Agree slightly,"Queens, NY ",20,"$40,000 - $59,999",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/11/2021 2:22,2021,May,172,Yes,2,Agree slightly,"San Jose, CA 95129",21,"$100,000 - $174,999",Asian,4th year undergraduate,No,College of Engineering,Woman,Female,Off campus,
5/11/2021 3:37,2021,May,173,No,2,Agree slightly,"Brooklyn, NY 11225",21,"Below $40,000",Black,3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/10/2021 20:20,2021,May,174,No,0,Agree slightly,"New York, New York 10021",22,"More than $750,000",White (of European descent),4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/11/2021 8:02,2021,May,175,No,0,Agree somewhat,"Boca Raton, Florida 33432",22,"More than $750,000",White (of European descent),4th year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/11/2021 9:35,2021,May,176,No,1,Agree somewhat,"Paoli, PA 19301",19,"$175,000 - $299,999",White (of European descent),1st year undergraduate,No,School of Industrial and Labor Relations,Woman,Female,On campus,
5/11/2021 10:04,2021,May,177,No,2,Don't know / not applicable,"Chappaqua, NY, 10514",21,"More than $750,000",White (of European descent),3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/11/2021 9:33,2021,May,178,No,0,Agree slightly,"Durham, North Carolina 27707",18,"$500,000 - $749,999",White (of European descent),1st year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/11/2021 13:11,2021,May,179,No,2,Agree slightly,"Staten Island, New York, 10306",20,"$175,000 - $299,999",Asian,2nd year undergraduate,No,College of Engineering,Man,Male,Off campus,
5/11/2021 11:43,2021,May,180,No,3,Don't know / not applicable,"denver, colorado 80220",19,"More than $750,000",White (of European descent),1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/11/2021 15:34,2021,May,181,No,0,Don't know / not applicable,"Flushing, NY, 11357",19,"Below $40,000","White (of European descent),Asian",2nd year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/11/2021 15:34,2021,May,182,No,1,Agree somewhat,"Parker, Texas, 75002",19,"$100,000 - $174,999",Asian,2nd year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/11/2021 15:04,2021,May,183,Yes,1,Agree somewhat,"Freeport, New York, 11520",21,"$60,000 - $99,999",Black,3rd year undergraduate,Yes,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/11/2021 16:27,2021,May,184,No,2,Agree slightly,"Yonkers , New York 10705 ",19,"$100,000 - $174,999",Hispanic,2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/11/2021 16:53,2021,May,185,No,2,Disagree somewhat,"Chardon, Ohio 44024",20,"$175,000 - $299,999",White (of European descent),3rd year undergraduate,No,College of Engineering,Man,Male,Off campus,
5/11/2021 17:17,2021,May,186,No,0,Agree somewhat,"Tegucigalpa, Honduras 11101",19,"$40,000 - $59,999",Hispanic,1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/11/2021 18:32,2021,May,187,No,0,Agree slightly,"Queens, New York, 11357",21,"$100,000 - $174,999",Asian,4th year undergraduate,Yes,College of Arts and Sciences,Man,Male,Off campus,
5/11/2021 21:33,2021,May,188,No,0,Agree slightly,"San Francisco, California 94127",20,"$500,000 - $749,999",Asian,2nd year undergraduate,Yes,College of Human Ecology,Woman,Female,On campus,
5/11/2021 21:58,2021,May,189,No,1,Agree slightly,"NYC, NY, 10028",21,"More than $750,000",White (of European descent),3rd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/11/2021 21:29,2021,May,190,Yes,0,Don't know / not applicable,New York 11364,19,"$40,000 - $59,999",Asian,2nd year undergraduate,No,College of Engineering,Woman,Female,Off campus,
5/11/2021 22:58,2021,May,191,No,0,Don't know / not applicable,"Brewster, New York 10509",19,"$175,000 - $299,999",Asian,2nd year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/11/2021 22:32,2021,May,192,No,2,Agree somewhat,"Seoul, South Korea",21,"$300,000 - $499,999",Asian,3rd year undergraduate,No,College of Engineering,Man,Male,On campus,
5/11/2021 22:57,2021,May,193,No,1,Agree somewhat,"San Jose, California 95120",19,"$60,000 - $99,999",Asian,2nd year undergraduate,No,College of Engineering,Man,Male,Off campus,
5/12/2021 1:19,2021,May,194,Don't know,2,Disagree slightly,"West Orange, New Jersey 07052",20,"Below $40,000",Black,3rd year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/12/2021 1:26,2021,May,195,No,8,Agree somewhat,21029,21,"More than $750,000",Asian,3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/12/2021 6:10,2021,May,196,Don't know,9,Disagree strongly,"Seoul, Republic of Korea",21,"$60,000 - $99,999",Asian,4th year undergraduate,No,College of Engineering,Woman,Female,Off campus,
5/12/2021 10:53,2021,May,197,No,0,Agree slightly,"Huntington, New York 11743",19,"$300,000 - $499,999",White (of European descent),2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/12/2021 12:12,2021,May,198,No,1,Agree somewhat,"Scarsdale, New York, 10583",19,"More than $750,000",White (of European descent),2nd year undergraduate,No,School of Industrial and Labor Relations,Woman,Female,On campus,
5/12/2021 12:46,2021,May,199,No,0,Agree slightly,"Cupertino, California 95014",18,"$500,000 - $749,999",Asian,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/12/2021 14:39,2021,May,200,No,6,Agree slightly,Orinda CA 94563,19,"$500,000 - $749,999",White (of European descent),1st year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/12/2021 14:52,2021,May,201,No,1,Agree somewhat,"Granby, MA, 01033",20,"$100,000 - $174,999",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/12/2021 14:58,2021,May,202,No,0,Agree slightly,"Fremont, California 94555",20,"$300,000 - $499,999",Asian,3rd year undergraduate,No,College of Engineering,Woman,Female,Off campus,
5/12/2021 16:31,2021,May,203,No,3,Agree somewhat,"Vienna, VA 22180",21,"$60,000 - $99,999",Middle Eastern,3rd year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/12/2021 16:38,2021,May,204,Yes,1,Agree somewhat,"Lorton, VA 22079",19,"$175,000 - $299,999",White (of European descent),2nd year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
5/12/2021 19:00,2021,May,205,No,1,Don't know / not applicable,"New York, NY 11361",20,"$40,000 - $59,999",Asian,3rd year undergraduate,No,College of Engineering,Woman,Female,Off campus,
5/12/2021 20:52,2021,May,206,No,1,Disagree somewhat,"Pearl River, New York, 10965",20,"$175,000 - $299,999",White (of European descent),2nd year undergraduate,No,College of Human Ecology,Man,Male,On campus,
5/12/2021 21:54,2021,May,207,No,0,Agree slightly,"New York, New York 10023",22,"More than $750,000",White (of European descent),4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/12/2021 22:52,2021,May,208,No,2,Agree somewhat,"Austin, Texas 78738",22,"Below $40,000",Mixed Race,2nd year undergraduate,No,College of Engineering,Man,Male,Off campus,
5/12/2021 22:51,2021,May,209,No,6,Agree slightly,"Huntington Beach, 92648",22,"$60,000 - $99,999",White (of European descent),4th year undergraduate,No,College of Engineering,Man,Male,Off campus,
5/12/2021 17:09,2021,May,210,No,3,Agree somewhat,"Flushing, NY 11355",20,"$40,000 - $59,999",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/13/2021 8:38,2021,May,211,No,2,Agree strongly,"Bogota, Colombia 00000",21,"$175,000 - $299,999","White (of European descent),Hispanic",3rd year undergraduate,No,College of Agriculture and Life Sciences,Man,Male,Off campus,
5/13/2021 8:51,2021,May,212,No,3,Agree slightly,"Perrysburg, Ohio 43551",20,"$175,000 - $299,999",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/13/2021 9:43,2021,May,213,Yes,1,Don't know / not applicable,mass,19,"Below $40,000",Hispanic,2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/13/2021 10:36,2021,May,214,No,0,Agree slightly,"Washington Heights, New York, 10033",20,"$175,000 - $299,999",White (of European descent),3rd year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
5/13/2021 12:53,2021,May,215,Yes,3,Agree somewhat,"Bronx, NY",19,"Below $40,000",Unknown,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/13/2021 12:57,2021,May,216,No,4,Don't know / not applicable,"Ithaca, New York 14850",22,"$100,000 - $174,999",White (of European descent),4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/13/2021 12:55,2021,May,217,No,1,Agree slightly,"Morris Plains, Nj, 07950",19,"$175,000 - $299,999",Asian,2nd year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/13/2021 13:53,2021,May,218,No,2,Agree slightly,"Buffalo, NY 14215",20,"Below $40,000",Black,3rd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/13/2021 15:41,2021,May,219,Yes,5,Agree somewhat,Bronx NY 10453,22,"$60,000 - $99,999",Hispanic,4th year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/13/2021 16:28,2021,May,220,No,1,Don't know / not applicable,"Jamesville, New York 13078",21,"$100,000 - $174,999",Asian,4th year undergraduate,No,School of Industrial and Labor Relations,Woman,Female,Off campus,
5/6/2021 17:09,2021,May,221,,,,,,,,,,,,,,
5/13/2021 17:52,2021,May,222,Yes,3,Disagree somewhat,"Clinton, NY 13323",21,"$100,000 - $174,999","White (of European descent),Hispanic",4th year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/13/2021 18:08,2021,May,223,Yes,0,Agree slightly,"Scarsdale, New York  10583",22,"$100,000 - $174,999",White (of European descent),4th year undergraduate,No,College of Engineering,Man,Male,Off campus,
5/13/2021 19:46,2021,May,224,No,2,Don't know / not applicable,"Los Angeles, California 90210",20,"More than $750,000",Black,2nd year undergraduate,No,"College of Architecture, Art and Planning",Man,Female,Off campus,
5/13/2021 20:49,2021,May,225,Don't know,0,Don't know / not applicable,dont feel comfortable sharing,18,"$100,000 - $174,999",Unknown,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/13/2021 20:46,2021,May,226,No,0,Agree slightly,"Solon, Ohio 44139",21,"$175,000 - $299,999",White (of European descent),2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/13/2021 13:44,2021,May,227,No,1,Agree slightly,"Arcadia, California 91006",20,"$100,000 - $174,999",Asian,3rd year undergraduate,No,College of Engineering,Woman,Female,Off campus,
5/13/2021 21:34,2021,May,228,No,1,Agree slightly,"Fremont, California 94539",19,"$60,000 - $99,999",Asian,2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/13/2021 22:16,2021,May,229,No,1,Disagree slightly,"Ithaca, New York, 14853",19,"Below $40,000",Asian,1st year undergraduate,No,College of Human Ecology,Man,Male,On campus,
5/13/2021 22:20,2021,May,230,Yes,5,Don't know / not applicable,"Phoenix, Arizona, 85024",21,"Below $40,000",Hispanic,3rd year undergraduate,Yes,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/13/2021 22:40,2021,May,231,Yes,6,Don't know / not applicable,bronx ny 10461,22,"$40,000 - $59,999",Black,4th year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/13/2021 22:15,2021,May,232,No,0,Agree slightly,"Clifton, NJ, 07013",21,"$100,000 - $174,999","White (of European descent),Black",3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/13/2021 22:26,2021,May,233,No,0,Agree slightly,"Whitestone, New York 11357",19,"$175,000 - $299,999",White (of European descent),2nd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/13/2021 22:49,2021,May,234,No,4,Agree slightly,Ithaca,19,"$60,000 - $99,999",White (of European descent),1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/13/2021 22:37,2021,May,235,No,2,Agree slightly,"Hacienda Heights, California 91745",21,"$60,000 - $99,999",Asian,3rd year undergraduate,Yes,College of Engineering,Woman,Female,On campus,
5/13/2021 23:11,2021,May,236,No,3,Agree slightly,"China, Guangdong",23,"$175,000 - $299,999",Asian,4th year undergraduate,Yes,College of Arts and Sciences,Man,Male,Off campus,
5/13/2021 23:21,2021,May,237,No,0,Disagree slightly,"King George, VA 22485",21,"$100,000 - $174,999",Asian,4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/14/2021 0:05,2021,May,238,Yes,0,Don't know / not applicable,"Baltimore, Marylnd",21,"Below $40,000",White (of European descent),4th year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/13/2021 23:59,2021,May,239,,3,,"Boxborough, MA, 01719",18,"$100,000 - $174,999",Asian,1st year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/14/2021 0:38,2021,May,240,No,0,Don't know / not applicable,"staten island, new york, 10310",20,"Below $40,000",Asian,3rd year undergraduate,Yes,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/13/2021 23:42,2021,May,241,No,1,Disagree slightly,"Yonkers, New York 10703",19,"$40,000 - $59,999",Hispanic,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,On campus,
5/14/2021 1:19,2021,May,242,No,3,Agree slightly,"Huntingdon Valley, PA 19006",22,"$60,000 - $99,999",Asian,3rd year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/14/2021 2:37,2021,May,243,No,7,Agree slightly,"Dogokdong, Seoul, 06294",19,"$175,000 - $299,999",Asian,1st year undergraduate,No,College of Human Ecology,Man,Male,Off campus,
5/14/2021 6:34,2021,May,244,No,1,Disagree slightly,"Marlboro, New Jersey 07746",18,"$100,000 - $174,999",Asian,1st year undergraduate,No,College of Arts and Sciences,Man,Male,On campus,
5/14/2021 6:55,2021,May,245,Yes,5,Agree slightly,"Williamsville, NY 14221",20,"$300,000 - $499,999",Asian,2nd year undergraduate,No,College of Agriculture and Life Sciences,Man,Male,On campus,
5/14/2021 7:08,2021,May,246,Yes,0,Disagree somewhat,"Walpole, Massachusetts 02081",21,"$60,000 - $99,999",White (of European descent),4th year undergraduate,Yes,College of Arts and Sciences,Woman,Female,Off campus,
5/13/2021 19:15,2021,May,247,No,1,Disagree somewhat,"Roslyn, New York 11576",18,"$500,000 - $749,999",White (of European descent),1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/14/2021 10:06,2021,May,248,No,0,Don't know / not applicable,Princeton NJ 08540,22,"More than $750,000",Asian,4th year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/14/2021 10:44,2021,May,249,No,0,Agree somewhat,"Austin, Texas 78730",21,"$300,000 - $499,999",Hispanic,4th year undergraduate,No,School of Industrial and Labor Relations,Man,Male,Off campus,
5/14/2021 11:12,2021,May,250,No,2,Don't know / not applicable,"New York, NY, 10453",19,"Below $40,000",Black,2nd year undergraduate,No,College of Agriculture and Life Sciences,Man,Male,On campus,
5/14/2021 11:25,2021,May,251,No,1,Agree somewhat,"Pleasantville, New York, 10570",21,"$100,000 - $174,999",Asian,4th year undergraduate,No,College of Engineering,Woman,Female,Off campus,
5/14/2021 10:02,2021,May,252,No,2,Don't know / not applicable,"Wall, NJ, 07719",19,"$100,000 - $174,999","American Indian or Alaskan Native,White (of European descent)",1st year undergraduate,No,SC Johnson College of Business,Woman,Female,On campus,
5/14/2021 11:54,2021,May,253,No,4,Agree somewhat,"Wellesley, Massachusetts 02481",21,"More than $750,000",White (of European descent),3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/13/2021 15:31,2021,May,254,No,3,Agree somewhat,6878,21,"More than $750,000",Hispanic,3rd year undergraduate,No,SC Johnson College of Business,Man,Male,Off campus,
5/14/2021 13:20,2021,May,255,No,3,Disagree slightly,"Brooklyn, New York, 11236",20,"$40,000 - $59,999",Black,3rd year undergraduate,No,College of Engineering,Man,Male,On campus,
5/7/2021 14:57,2021,May,256,,,,,,,,,,,,,,
5/14/2021 14:03,2021,May,257,No,0,Agree slightly,"Frisco, TX 75034",20,"$300,000 - $499,999",Hispanic,2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/14/2021 14:55,2021,May,258,Yes,0,Agree slightly,"Brooklyn, NY 11225",21,"$40,000 - $59,999","Hispanic,Mixed Race",4th year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/14/2021 0:04,2021,May,259,Don't know,2,Agree somewhat,"Englewood Cliffs, New Jersey 07632",21,"$100,000 - $174,999",Asian,4th year undergraduate,Yes,College of Human Ecology,Woman,Female,Off campus,
5/14/2021 15:58,2021,May,260,No,1,Agree slightly,"Carmel, Indiana 46033",21,"More than $750,000",Black,3rd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/14/2021 16:26,2021,May,261,No,5,Disagree slightly,"Ithaca, New York 14850",21,"$100,000 - $174,999",White (of European descent),4th year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/14/2021 16:17,2021,May,262,No,0,Disagree somewhat,"Coral Gables, FL 33134",21,"$60,000 - $99,999",Hispanic,3rd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/14/2021 16:09,2021,May,263,No,4,Agree somewhat,"Ramsey, New Jersey, 07446",21,"$60,000 - $99,999",Asian,4th year undergraduate,Yes,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/14/2021 16:31,2021,May,264,No,3,Don't know / not applicable,"Charlotte, NC, 28277",19,"$175,000 - $299,999",Asian,2nd year undergraduate,No,College of Human Ecology,Man,Male,On campus,
5/14/2021 16:59,2021,May,265,No,2,Disagree somewhat,"Bronx, New York 10473",19,"$40,000 - $59,999",Asian,2nd year undergraduate,No,College of Engineering,Man,Male,Off campus,
5/14/2021 16:38,2021,May,266,No,3,Agree slightly,"Ithaca, NY, 14850",21,"Below $40,000",Asian,2nd year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/14/2021 17:43,2021,May,267,No,1,Disagree strongly,"Weston, Florida 33327",21,"$175,000 - $299,999","White (of European descent),Hispanic",4th year undergraduate,No,College of Engineering,Gender non-conforming,Male,Off campus,
5/14/2021 17:54,2021,May,268,No,4,Don't know / not applicable,"Berwyn, PA 19312",22,"$500,000 - $749,999",Asian,4th year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/14/2021 10:42,2021,May,269,No,2,Don't know / not applicable,"Modesto, California 95356",19,"$500,000 - $749,999",Asian,1st year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/14/2021 18:12,2021,May,270,Yes,0,Agree slightly,"Manhasset, NY, 11030",18,"$60,000 - $99,999",White (of European descent),1st year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
5/14/2021 18:25,2021,May,271,Yes,1,Disagree somewhat,"Missouri City, TX, 77459",19,"Below $40,000",Hispanic,2nd year undergraduate,No,SC Johnson College of Business,Woman,Female,Off campus,
5/14/2021 18:15,2021,May,272,No,0,Agree somewhat,"Charlestown, MA 02129",20,"$175,000 - $299,999",White (of European descent),2nd year undergraduate,No,College of Engineering,Man,Male,On campus,
5/14/2021 18:26,2021,May,273,No,6,Don't know / not applicable,"Accra, Ghana",22,"$100,000 - $174,999",Black,3rd year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/14/2021 19:36,2021,May,274,No,1,Disagree slightly,"Ithaca, New York 14850",21,"$175,000 - $299,999",White (of European descent),4th year undergraduate,No,College of Agriculture and Life Sciences,Man,Male,Off campus,
5/14/2021 19:39,2021,May,275,No,1,Disagree slightly,"Glencoe, IL 60022",20,"$175,000 - $299,999",White (of European descent),2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/14/2021 18:51,2021,May,276,No,twice,Agree slightly,"Brooklyn, New York, 11213",21,"$175,000 - $299,999","Black,Hispanic",3rd year undergraduate,No,College of Human Ecology,Man,Male,On campus,
5/14/2021 20:11,2021,May,277,Yes,2,Don't know / not applicable,"Queens, NYC 11435",21,"$60,000 - $99,999",Asian,3rd year undergraduate,Yes,College of Agriculture and Life Sciences,Man,Male,Off campus,
5/14/2021 19:41,2021,May,278,No,0,Disagree somewhat,"Staten Island, NY 10314",20,"$60,000 - $99,999",Hispanic,3rd year undergraduate,No,College of Engineering,Man,Male,Off campus,
5/14/2021 20:06,2021,May,279,No,2,Agree somewhat,"Terre Haute, Indiana 47802",18,"$100,000 - $174,999",Asian,1st year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/14/2021 20:07,2021,May,280,No,5,Agree slightly,"Syosset, New York 11791",19,"$100,000 - $174,999",Asian,2nd year undergraduate,No,College of Human Ecology,Man,Male,Off campus,
5/14/2021 19:48,2021,May,281,No,4,Disagree slightly,"Montclair, NJ, 07042",19,"$500,000 - $749,999",Asian,2nd year undergraduate,No,College of Human Ecology,Woman,Female,Off campus,
5/14/2021 19:48,2021,May,282,No,1,Disagree strongly,"Herndon, VA 20171",19,"$300,000 - $499,999",Hispanic,2nd year undergraduate,No,College of Engineering,Woman,Female,On campus,
5/14/2021 20:41,2021,May,283,No,1,Agree slightly,"Syracuse, NY 13057",21,"$40,000 - $59,999",Asian,3rd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/14/2021 21:00,2021,May,284,No,3,Don't know / not applicable,"Tucson, Arizona, 85750",20,"$175,000 - $299,999",White (of European descent),4th year undergraduate,Yes,College of Arts and Sciences,Man,Male,Off campus,
5/14/2021 21:14,2021,May,285,No,3,Agree slightly,"Fremont, CA 94539",21,"$175,000 - $299,999",Asian,4th year undergraduate,Yes,College of Agriculture and Life Sciences,Woman,Female,Off campus,
5/14/2021 21:31,2021,May,286,No,6,Don't know / not applicable,"Houston, Texas 77087",21,"$40,000 - $59,999",Black,3rd year undergraduate,No,College of Human Ecology,Woman,Female,On campus,
5/14/2021 21:44,2021,May,287,No,0,Agree slightly,-,19,"$300,000 - $499,999",Asian,2nd year undergraduate,No,"College of Architecture, Art and Planning",Woman,Female,Off campus,
5/14/2021 21:50,2021,May,288,Yes,2,Agree slightly,"Pembroke Pines, Florida 33028",21,"$40,000 - $59,999",Hispanic,3rd year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
5/14/2021 22:28,2021,May,289,No,6,Agree somewhat,"Roseville, CA 95678",20,"$60,000 - $99,999",Asian,2nd year undergraduate,No,College of Arts and Sciences,Woman,Female,Off campus,
5/15/2021 7:26,2021,May,290,No,0,Agree slightly,"Hicksville, NY, 11801",18,"$40,000 - $59,999",Hispanic,1st year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
5/8/2021 10:36,2021,May,291,,,,,,,,,,,,,,
5/8/2021 18:06,2021,May,292,,,,,,,,,,,,,,
5/15/2021 19:46,2021,May,293,No,1,Don't know / not applicable,"guangzhou, china, 51000",21,"$100,000 - $174,999",Asian,3rd year undergraduate,No,College of Engineering,Woman,Female,Off campus,
5/15/2021 22:42,2021,May,294,No,2,Agree slightly,"Massillon, Ohio 44646",18,"$60,000 - $99,999",White (of European descent),1st year undergraduate,Yes,College of Arts and Sciences,Woman,Female,On campus,
5/15/2021 22:42,2021,May,295,No,4,Agree somewhat,"Forrest, Illinois 61741",19,"$175,000 - $299,999",White (of European descent),1st year undergraduate,No,College of Agriculture and Life Sciences,Woman,Female,On campus,
5/16/2021 8:58,2021,May,296,No,1,Disagree slightly,"Avon, Connecticut 06001",21,"$175,000 - $299,999",White (of European descent),3rd year undergraduate,No,College of Arts and Sciences,Man,Male,Off campus,
